x,y,,,,,,,,,,,
0.407042,-0.01637944,,,,,,,,,,,
0.612533,-0.028520813,,,,,,,,,,,
0.859772,-0.045552759,,,,,,,,,,,
1.133142,-0.068049301,,,,,,,,,,,
1.412772,-0.094694839,,,,,,,,,,,
1.771995,-0.137504234,,,,,,,,,,,
2.082401,-0.182455086,,,,,,,,,,,
2.385209,-0.23502467,,,,,,,,,,,
2.746317,-0.310765106,,,,,,,,,,,
3.114052,-0.399261505,,,,,,,,,,,
3.466642,-0.502127156,,,,,,,,,,,
3.819830,-0.621904977,,,,,,,,,,,
4.171678,-0.759231784,,,,,,,,,,,
4.522319,-0.909655911,,,,,,,,,,,
4.885418,-1.086944577,,,,,,,,,,,
5.208887,-1.26258376,,,,,,,,,,,
5.543778,-1.461656348,,,,,,,,,,,
5.854238,-1.666205431,,,,,,,,,,,
6.188711,-1.907567972,,,,,,,,,,,
6.556160,-2.199661897,,,,,,,,,,,
6.753239,-2.36279175,,,,,,,,,,,
6.960522,-2.534277088,,,,,,,,,,,
7.265968,-2.827439768,,,,,,,,,,,
7.551327,-3.175830494,,,,,,,,,,,
7.706684,-3.395930123,,,,,,,,,,,
7.868950,-3.656807544,,,,,,,,,,,
8.013752,-3.914690617,,,,,,,,,,,
8.161047,-4.205921848,,,,,,,,,,,
8.304663,-4.532122655,,,,,,,,,,,
8.426827,-4.860329193,,,,,,,,,,,
8.534689,-5.20261169,,,,,,,,,,,
8.623198,-5.557732155,,,,,,,,,,,
8.695707,-5.922544617,,,,,,,,,,,
8.750549,-6.27618009,,,,,,,,,,,
8.787070,-6.616651726,,,,,,,,,,,
8.810246,-7.038231377,,,,,,,,,,,
8.809092,-7.425006191,,,,,,,,,,,
8.788952,-7.794027972,,,,,,,,,,,
,,,,,,,,,,,,
