x,y
0.135782779,-0.003528872
0.536795419,-0.028509406
1.135345107,-0.079774341
1.85346358,-0.163989676
2.728615038,-0.320240416
3.642759133,-0.563950418
4.554339842,-0.90890982
5.524294029,-1.408171296
6.398548715,-1.999027034
7.214886131,-2.70661469
7.93688875,-3.583593548
8.462759293,-4.651287673
8.783889066,-5.77061498
8.943465185,-6.932810319
8.897132235,-8.071075048
8.622430153,-9.181562278
8.135906209,-10.26510368
7.556102003,-11.30612423
6.999973908,-12.3621033
6.524276409,-13.50135879
6.216293237,-14.57401309
6.035467367,-15.79692906
6.018312774,-16.95424265
6.113923508,-18.14850593
6.296222382,-19.33330775
6.481627105,-20.47752135
6.598000822,-21.67041743
6.424464858,-22.85000577
5.685274738,-23.7637367
4.542854894,-23.75589835
3.897950911,-22.81958423
3.407803408,-21.68604798
2.714888934,-20.7074042
2.283384658,-19.55009559
2.077591139,-18.36830974
1.921708403,-17.17854833
1.762053651,-15.98928593
1.54912641,-14.80869401
1.167361543,-13.71619644
0.482494648,-12.73578019
-0.41387041,-11.87953442
-1.199110369,-10.97584431
-1.693987029,-9.887974418
-1.866940403,-8.70373113
-1.726227051,-7.516671792
-1.165304648,-6.464165515
-0.535893594,-5.44931278
-0.59735424,-4.364553757
-1.640041485,-3.842366629
-2.541341522,-4.615044706
-3.17356739,-5.620743533
-4.229166684,-5.810278167
-5.064880685,-4.910933733
-4.834685244,-3.765544158
-4.223821656,-2.732717305
-3.489637441,-1.788208321
-2.52982092,-1.073219772
-1.510172071,-0.613345501
-0.353095048,-0.299495197
2.035982781,-0.191173485
3.255796555,-0.407415545
4.355627704,-0.77314138
5.42772443,-1.309861824
