x,y
0.033350786,-0.00010375
0.391393478,-0.018078935
1.011965599,-0.070700277
1.374180999,-0.108175882
1.769344344,-0.158089933
2.236711507,-0.23218034
2.704585695,-0.326167035
3.188433373,-0.446369677
3.657061428,-0.589591844
4.154699168,-0.772167217
4.650814759,-0.990954324
5.165883844,-1.257846767
5.599626872,-1.515522313
6.090693184,-1.852497553
6.521264017,-2.185459611
6.955176502,-2.566520032
7.3435462,-2.959092384
7.732142161,-3.433875678
8.044452209,-3.930871746
8.294016685,-4.464662317
8.491520164,-5.021909325
8.638458763,-5.565486145
8.755554288,-6.178030781
8.822138358,-6.769297908
8.841029291,-7.364767619
8.799767521,-7.959774798
8.707244833,-8.489018127
8.537784254,-9.093051971
8.328059512,-9.653032072
8.104876243,-10.14312364
7.833500952,-10.67674271
7.539309533,-11.23255282
7.2803103,-11.73935053
6.997311495,-12.33464762
6.775653506,-12.85912673
6.58916711,-13.36534801
6.404180527,-13.99822981
6.284847367,-14.55518122
6.185525892,-15.1769126
6.122912042,-15.77335115
6.092252525,-16.34228683
6.089684028,-16.94204467
6.113523146,-17.54140804
6.160992475,-18.13937362
6.233329873,-18.7650861
6.31883651,-19.35887084
6.412061183,-19.95152169
6.496640679,-20.5454665
6.55250689,-21.08247149
6.564810973,-21.74191045
6.48312161,-22.33539841
6.284548851,-22.86807467
5.897265751,-23.36021163
5.367518331,-23.62920981
4.834947483,-23.60125086
4.327356336,-23.24001657
3.950980916,-22.73522002
3.578514161,-22.26500385
3.204878942,-21.79570426
2.890027821,-21.28566235
2.655171601,-20.73409509
2.495165492,-20.18722802
2.359664197,-19.57203905
2.256075968,-19.0115412
2.146317621,-18.39118101
2.054434816,-17.82863887
1.968914922,-17.26509705
1.870686317,-16.61245228
1.796685099,-16.1381922
1.686767539,-15.48743013
1.551626515,-14.87223609
1.389689778,-14.35731579
1.119015707,-13.75598204
0.794310263,-13.25204809
0.426316613,-12.81715727
-0.01932727,-12.37192672
-0.44184573,-11.94601889
-0.808113592,-11.50962283
-1.150950709,-10.98164398
-1.39669975,-10.46774495
-1.591997537,-9.869299116
-1.703133397,-9.310462984
-1.759798115,-8.683402207
-1.745035499,-8.173922745
-1.620351307,-7.527036739
-1.382131675,-6.977609027
-1.075392607,-6.497399358
-0.771174844,-5.98124449
-0.652205765,-5.39823353
-0.848150401,-4.809117947
-1.289455196,-4.459980811
-1.907223941,-4.414708156
-2.444265831,-4.676311649
-2.968685349,-4.966585746
-3.540725165,-5.1428762
-4.078440668,-5.163618837
-4.687572616,-4.930596652
-5.019004446,-4.476985364
-5.0348802,-3.88569585
-4.787459726,-3.308293137
-4.465251326,-2.802526245
-4.085976969,-2.338103346
-3.697481506,-1.963403973
-3.20223032,-1.574484423
-2.670334993,-1.237296366
-2.164860267,-0.974175443
-1.611949432,-0.741616468
-1.012940471,-0.547066786
-0.429098297,-0.409463389
