x,y,,,
1.203697747,-0.090676377,,,
2.407553954,-0.259978999,,,
3.581552354,-0.543274728,,,
4.714190752,-0.975996229,,,
5.773566731,-1.552321069,,,
6.750487185,-2.268321462,,,
7.596524247,-3.121445574,,,
8.252225537,-4.151316659,,,
8.675134504,-5.313262769,,,
8.90139836,-6.501096398,,,
8.935018233,-7.75582119,,,
8.702776609,-8.954565262,,,
8.235609492,-10.08858149,,,
7.621889249,-11.20107714,,,
7.037198653,-12.28672931,,,
6.551535963,-13.42173117,,,
6.203096161,-14.60696189,,,
6.022204967,-15.82989481,,,
6.011659172,-17.06696741,,,
6.121748421,-18.30023438,,,
6.314683395,-19.52384617,,,
6.525592147,-20.7448742,,,
6.604663546,-22.01931658,,,
6.26139593,-23.19775362,,,
5.247270308,-23.90630537,,,
4.144722015,-23.33042727,,,
3.707799406,-22.1730793,,,
3.045251571,-21.12958354,,,
2.452488768,-20.04585885,,,
2.151488932,-18.84457729,,,
1.972940353,-17.61769401,,,
1.819445939,-16.38727517,,,
1.637053645,-15.16103398,,,
1.291567969,-13.97258331,,,
0.644135594,-12.92057004,,,
-0.234913334,-12.04742805,,,
-1.077960736,-11.14115356,,,
-1.634416133,-10.03899383,,,
-1.849826357,-8.821449742,,,
-1.737764033,-7.591201821,,,
-1.184582189,-6.49051281,,,
-0.531031175,-5.398164227,,,
-0.750034668,-4.156484986,,,
-1.956353066,-3.921057764,,,
-2.665396634,-4.899191353,,,
-3.352756453,-5.899278861,,,
-4.554681262,-5.821476272,,,
-4.981441975,-4.643337378,,,
-4.467880548,-3.521865013,,,
-3.9005702,-2.419689644,,,
-3.092475959,-1.486739621,,,
-2.012591672,-0.806481037,,,
-0.840788177,-0.406875722,,,
0.382159075,-0.20941381,,,
